epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.60463,1.83999,4.35152,1.85582,0.67832,0.20833,0.16934,0.05511,1.52233,3.76033,1.88652,1.25e-05,1.25e-05,1.25e-05
2,9.03232,1.93002,4.30414,1.9313,0.67585,0.20833,0.16966,0.05865,1.47554,3.74335,1.84842,3.68813e-05,3.68813e-05,3.68813e-05
3,10.417,1.88456,4.56504,1.96068,0.17898,0.33333,0.32121,0.14287,1.30297,3.45718,1.65513,6.04375e-05,6.04375e-05,6.04375e-05
4,11.71,1.63187,3.77946,1.63563,0.75616,0.33333,0.45216,0.32051,0.91688,3.08239,1.23617,8.31687e-05,8.31687e-05,8.31687e-05
5,12.8733,1.13792,3.00836,1.30569,0.32938,0.70833,0.4264,0.36094,0.8636,4.12007,1.20844,0.000105075,0.000105075,0.000105075
6,14.0076,1.00762,2.43384,1.20871,0.31268,0.97912,0.59063,0.49561,0.76217,2.62272,1.11502,0.000126156,0.000126156,0.000126156
7,15.8752,0.91989,2.09647,1.12526,0.43789,0.79167,0.51354,0.42956,0.64737,2.52459,1.02571,0.000146413,0.000146413,0.000146413
8,16.9772,0.87603,1.97564,1.09261,0.40525,0.66667,0.6538,0.52415,0.82507,2.70425,1.16377,0.000165844,0.000165844,0.000165844
9,18.083,0.88606,1.63429,1.11264,0.68594,0.54167,0.61164,0.44789,0.95035,2.65708,1.23206,0.00018445,0.00018445,0.00018445
10,19.1573,0.82799,1.53083,1.0032,0.78707,0.48196,0.70884,0.52694,0.94485,2.776,1.2423,0.000202231,0.000202231,0.000202231
11,20.5356,0.771,1.3659,0.98676,0.36023,0.79167,0.69253,0.55136,0.90197,3.48421,1.21029,0.000219188,0.000219188,0.000219188
12,22.283,0.74121,1.21795,0.96229,0.41136,0.91031,0.74625,0.58298,0.89046,3.24555,1.18742,0.000235319,0.000235319,0.000235319
13,23.8998,0.79891,1.11201,0.9619,0.68195,0.76833,0.80792,0.65008,0.84422,2.36368,1.04155,0.000250625,0.000250625,0.000250625
14,25.0057,0.74483,0.96669,0.96486,0.73503,0.73286,0.77458,0.59075,0.92141,2.07376,1.08573,0.000265106,0.000265106,0.000265106
15,26.227,0.69093,0.94665,0.94987,0.46763,0.91851,0.78729,0.58691,0.97717,2.05131,1.14809,0.000278762,0.000278762,0.000278762
16,27.3086,0.79088,0.99118,1.02304,0.85852,0.66667,0.82917,0.62069,0.99918,1.77675,1.22283,0.000291594,0.000291594,0.000291594
17,28.3802,0.76675,1.0152,1.02753,0.67802,0.79167,0.78182,0.63177,0.80158,1.51449,1.09601,0.0003036,0.0003036,0.0003036
